name,AUROC_mean,AUROC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std
v4_random_length_baseline,0.4336388888888889,0.054749034604488295,0.45666666666666667,0.07137537701787952,0.4293650629452054,0.06910147708315163
v4_random_tfidf_baseline,0.06883333333333333,0.024662161750791882,0.14333333333333334,0.03391164991562634,0.1318568152714494,0.01656389565319725
v4_entity_group_length_baseline,0.48247222222222225,0.022988926480824203,0.5016666666666667,0.03993049516903646,0.5173494086128912,0.029463745158858173
v4_entity_group_tfidf_baseline,0.4573333333333333,0.036548884903021585,0.4633333333333334,0.03231786571610885,0.4633333333333334,0.03231786571610885
