split,method,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_mean,f1_std
prompt_style_heldout,prompt_length,0.6553159847448493,0.08884269226169118,0.19035752979414952,0.20945069769924388,0.2934141037589314,0.3002842404106898
prompt_style_heldout,tfidf_char_ngram_prompt,0.9173506611947104,0.04755962162563417,0.6412784398699891,0.050409129146343344,0.42669683257918556,0.3538733484128152
source_id_group5,prompt_length,0.8835364061595946,0.04117381653099218,0.5312943262411347,0.0450119829067877,0.6930048094312122,0.03873137714471566
source_id_group5,tfidf_char_ngram_prompt,0.9726035126977155,0.02012081906125147,0.898581560283688,0.023965702821422977,0.8972897472897472,0.03392932797112909
