baseline,auroc,median_threshold,accuracy_at_median_threshold,precision_at_median_threshold,recall_at_median_threshold,f1_at_median_threshold
entropy,0.3963,0.2442338690161705,0.38666666666666666,0.38666666666666666,0.38666666666666666,0.38666666666666666
negative_top1_prob,0.3635166666666667,-0.9545186460018158,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335
negative_margin,0.34365555555555555,-0.9237272450700402,0.3566666666666667,0.3566666666666667,0.3566666666666667,0.3566666666666667
