method,auroc,median_threshold,accuracy_at_median,precision_at_median,recall_at_median,f1_at_median
hidden_layer_10,0.8389000000000001,0.0073911430971573665,0.78,0.78,0.78,0.78
length_baseline,0.5,0.5,0.5,0.5,1.0,0.6666666666666666
tfidf_char_ngram,0.50935,0.4924259194725965,0.51,0.5098039215686274,0.52,0.5148514851485149
entropy,0.5796,0.22710503637790674,0.57,0.57,0.57,0.57
negative_top1_prob,0.5548,-0.9626801013946533,0.57,0.57,0.57,0.57
negative_margin,0.5447000000000001,-0.939421675633639,0.56,0.56,0.56,0.56
